Car ID,Car,Body Type,Engine Type,Price ($),Year of Manufacture,Transmission Type,Resale Value ($),Fuel Economy (km/l),Performance Rating,User Rating,Safety Rating,Comfort Level,Maintenance Cost ($/yr),Warranty Period (years),Seating Capacity,Battery Capacity (kWh),Drive Type
99,Volkswagen Passat,SUV,Diesel,52759.69,2021,Automatic,39485.48,22.6,8,6,6,5,1591.3,2,7,,FWD
100,Honda CR-V,Wagon,Hybrid,38161.14,2010,Automatic,25819.02,19,7,6,8,8,1534.37,1,5,,AWD
101,Nissan Sentra,Wagon,Petrol,23505.27,2010,Automatic,12510.46,22.7,6,6,6,6,869.27,3,5,,FWD
102,Nissan Sentra,Hatchback,Petrol,19150.74,2021,Manual,10545.46,25.8,4,6,4,4,807.28,2,5,,FWD
103,Honda Clarity,Hatchback,Electric,36735.78,2015,Automatic,26444.12,27.3,7,7,6,8,1194.27,5,4,72.5,FWD
104,Chevrolet Traverse,Minivan,Petrol,34900.86,2010,Automatic,23121.26,23.8,6,8,10,9,1860.75,4,7,,AWD
105,Suzuki Swift,Wagon,Diesel,23094.21,2010,Manual,10552.23,27.2,4,5,5,6,633.56,1,5,,FWD
106,Ford Focus,Hatchback,Petrol,26018.59,2012,Manual,11503.94,20.1,6,6,5,6,567.06,3,5,,FWD
107,Mazda MX-5,Sedan,Diesel,85579.08,2023,Manual,67336.17,8.4,9,8,6,6,4689.82,4,4,,RWD
108,Nissan Sentra,Sedan,Diesel,19280.11,2011,Manual,8396.4,24.3,5,8,4,6,1434.59,3,5,,FWD
109,Chevrolet Camaro,Coupe,Diesel,61531.69,2014,Automatic,44074.55,10.5,10,7,6,7,4508.7,1,2,,AWD
110,Kia Niro EV,Hatchback,Electric,35096.05,2012,Automatic,21206.46,28.4,7,9,8,8,904.24,3,4,44.8,AWD
111,Chevrolet Corvette,Convertible,Petrol,76131.44,2011,Manual,48973.83,10,10,10,8,5,4541.05,4,4,,RWD
112,Honda Civic,Sedan,Diesel,15942.03,2021,Automatic,9440.39,26.3,6,10,4,4,713.01,5,5,,FWD
113,Volkswagen Tiguan,SUV,Diesel,27457.78,2015,Automatic,19883.2,15.5,6,10,10,8,1100.34,4,7,,FWD
114,Tesla Model 3,Hatchback,Hybrid,37415.09,2018,Automatic,24310.49,27.1,6,5,7,8,918.47,3,5,,FWD
115,Jeep Grand Cherokee,SUV,Petrol,51570.6,2014,Manual,39427.83,19,7,10,7,6,1704.77,1,5,,FWD
116,BMW 7 Series,Convertible,Petrol,148244.76,2024,Automatic,112576.14,11.5,8,8,9,10,5836.65,4,5,,AWD
117,Tesla Model S,Sedan,Hybrid,44525.85,2023,Automatic,29517.53,29.1,6,5,8,8,1821.18,1,5,,AWD
118,Chevrolet Traverse,Wagon,Petrol,38570.6,2024,Automatic,29349.43,19.8,8,8,9,8,1948.5,5,5,,AWD
119,BMW X5,Sedan,Petrol,107094.45,2021,Automatic,83433.3,11.5,10,8,9,9,6761.86,4,5,,AWD
120,Ford Mustang Mach-E,Hatchback,Hybrid,55642.69,2013,Automatic,42239.76,25.6,7,7,8,6,707.63,2,4,,AWD
121,Toyota Prius,SUV,Electric,56682.91,2019,Automatic,34034.57,29.5,7,9,7,8,820.84,1,4,81.4,AWD
122,Audi A4,Sedan,Hybrid,172948.93,2018,Automatic,123367.97,10.3,8,8,9,8,4948.25,5,4,,RWD
123,Nissan Leaf,Hatchback,Electric,45990.93,2013,Automatic,35100.39,28.4,6,6,8,7,1907.71,4,4,82.8,AWD
124,BMW i3,Sedan,Electric,51853.69,2012,Automatic,33028.66,25.1,8,6,8,8,643.04,2,5,22.3,AWD
125,Mazda MX-5,Convertible,Petrol,69274.78,2021,Automatic,53001.61,8.8,10,7,6,7,3151.52,5,2,,RWD
126,Dodge Charger,Coupe,Diesel,80651.86,2010,Manual,48717.02,8.2,9,5,7,5,3478.9,4,4,,AWD
127,Nissan Sentra,Wagon,Diesel,23780.83,2014,Manual,13374.33,23.6,5,5,6,6,1196.96,5,5,,FWD
128,Jeep Grand Cherokee,Wagon,Petrol,53764.84,2018,Manual,40624.45,24,7,5,8,7,1915.59,5,7,,FWD
129,Honda Accord,Sedan,Petrol,28475.64,2023,Manual,13154.56,24,5,10,5,4,660.71,5,5,,FWD
130,Volkswagen Tiguan,Wagon,Petrol,42160.54,2023,Automatic,26802.3,17.1,7,7,10,9,1643.8,4,5,,FWD
131,BMW i3,Sedan,Electric,47836.63,2022,Automatic,37562.06,29.7,7,6,6,7,1818.29,2,5,27.3,AWD
132,Nissan GT-R,Coupe,Petrol,81222,2018,Automatic,52133.77,10.6,10,6,8,7,2729.86,4,4,,AWD
133,Kia Niro EV,SUV,Electric,53491.19,2015,Automatic,38345.33,29.5,6,6,7,8,1199.72,5,4,84.5,AWD
134,Ford Focus,Hatchback,Diesel,29774.31,2020,Manual,12340.22,27.6,5,7,4,5,901.91,2,5,,FWD
135,Toyota Highlander,SUV,Diesel,48140.28,2018,Automatic,29101.37,18.8,6,8,8,10,1899.87,5,7,,FWD
136,GMC Acadia,Hatchback,Hybrid,54002.05,2023,Automatic,39054.26,24.5,7,9,8,7,2572.81,2,7,,AWD
137,Volkswagen Passat,Wagon,Diesel,34298.79,2022,Automatic,23450.1,17.9,8,8,7,5,2268.63,1,5,,FWD
138,Audi A4,Convertible,Diesel,103900.5,2024,Automatic,88869.05,8.9,10,8,10,10,4922.97,2,5,,RWD
139,Lexus LS,Coupe,Hybrid,169593.02,2024,Automatic,150144.92,9.3,9,6,9,8,4073.12,1,5,,RWD
140,Kia Niro EV,Sedan,Electric,51841.28,2024,Automatic,39429.98,27.8,7,8,6,6,780.74,2,5,95.2,FWD
141,Hyundai Ioniq,Sedan,Hybrid,49607.69,2016,Automatic,32237.25,27.8,8,9,8,8,1902.89,1,5,,AWD
142,Dodge Challenger,Sedan,Diesel,82797.73,2015,Manual,56140.89,8.3,9,5,6,5,5499.31,4,4,,RWD
143,Mazda CX-5,SUV,Hybrid,30170,2011,Automatic,21808.66,16.1,7,8,10,8,1206,5,5,,AWD
144,Toyota Camry,Hatchback,Petrol,24317.29,2019,Automatic,13930.96,23.7,5,5,5,4,522.96,5,5,,FWD
145,GMC Acadia,Wagon,Diesel,58973.09,2015,Automatic,42175.46,22.6,6,8,8,6,2237.99,5,7,,FWD
146,Kia Niro EV,Sedan,Hybrid,46470.93,2024,Automatic,33618.75,29.7,8,6,8,6,1254.17,3,4,,AWD
147,Chevrolet Corvette,Sedan,Diesel,70559.67,2012,Manual,48046.28,11.5,10,7,7,7,2773.26,1,2,,RWD
148,Kia Sorento,Minivan,Petrol,35600.97,2012,Automatic,28087.47,22.2,7,10,8,10,1188.51,5,5,,AWD
149,Honda Accord,Hatchback,Diesel,20178.94,2017,Automatic,11818.56,29.2,4,10,6,4,1140.72,1,5,,FWD
150,Hyundai Elantra,Sedan,Diesel,18998.44,2015,Manual,9686.69,26.3,5,10,6,6,1415.15,2,5,,FWD
151,Chevrolet Malibu,Wagon,Hybrid,34347.36,2022,Automatic,21530.05,20.8,8,7,8,7,1871.25,1,5,,AWD
152,Porsche Cayenne,Sedan,Hybrid,155886.1,2022,Automatic,113013.2,8.8,10,8,9,9,5560.53,4,5,,RWD
153,Chevrolet Camaro,Sedan,Petrol,84505.51,2022,Automatic,50878.38,10.3,10,6,6,7,3686.42,2,4,,AWD
154,Jaguar F-Pace,Coupe,Diesel,117639.54,2023,Automatic,91710.65,10,10,9,9,8,5020.56,2,5,,RWD
155,Chrysler Pacifica,Hatchback,Petrol,41739.93,2010,Automatic,29927.87,22.8,7,7,6,6,1567.52,4,5,,AWD
156,Hyundai Elantra,Sedan,Diesel,17815.22,2010,Manual,8817.39,20.1,4,6,5,6,1134.39,2,5,,FWD
157,Honda Accord,Hatchback,Petrol,27060.62,2010,Automatic,12650.2,25.4,4,9,4,4,525.07,4,5,,FWD
158,Dodge Challenger,Sedan,Diesel,82451.99,2011,Automatic,56452.25,9.3,9,7,6,7,3983.28,4,2,,AWD
159,Jaguar XF,Convertible,Petrol,183598.81,2013,Automatic,138678.23,11.3,9,6,9,9,6319.73,5,4,,RWD
160,Subaru Outback,Wagon,Diesel,28178.6,2019,Automatic,19521.75,21.9,7,8,9,8,2482.37,1,7,,AWD
161,BMW i3,Sedan,Electric,47393.03,2010,Automatic,36210.92,27.8,6,5,6,8,1613.77,5,5,67.9,FWD
162,Toyota Highlander,SUV,Hybrid,28092.7,2017,Automatic,20910.68,16,8,7,10,8,1855.61,3,5,,FWD
163,Dodge Charger,Sedan,Diesel,66513.04,2010,Automatic,48751.17,11.3,10,8,6,7,5274.06,5,4,,RWD
164,Ford Explorer,SUV,Diesel,43573.95,2012,Automatic,30398.26,20.3,8,9,9,9,2450.27,1,7,,FWD
165,Jeep Grand Cherokee,Wagon,Petrol,45640.5,2010,Manual,34773.18,18.9,7,9,6,7,2874.13,4,5,,AWD
166,BMW i3,Hatchback,Hybrid,54045.85,2020,Automatic,38499.71,25.5,7,9,6,7,950.18,3,5,,FWD
167,Volkswagen Passat,SUV,Diesel,53438.26,2016,Manual,39679.75,21.8,6,9,7,6,1890.99,2,4,,AWD
168,BMW M3,Coupe,Petrol,62685.3,2012,Automatic,47490.58,8.5,10,5,8,7,4917.53,1,2,,AWD
169,Kia Niro EV,Hatchback,Hybrid,43564.49,2019,Automatic,27008.12,25.1,8,8,6,8,854.49,1,4,,AWD
170,Kia Niro EV,Hatchback,Electric,36495.65,2023,Automatic,26167.4,27,8,8,8,7,859.43,1,5,24.7,FWD
171,Ford Fusion,Hatchback,Diesel,27950.1,2013,Automatic,12078.58,25.6,5,7,6,4,1070.19,4,5,,FWD
172,Toyota Camry,Sedan,Petrol,18278.92,2011,Automatic,8935.14,24.5,5,6,5,4,1484.46,1,5,,FWD
173,Dodge Charger,Coupe,Petrol,71664.1,2013,Manual,51254.7,14,10,7,7,5,5348.26,4,2,,RWD
174,Tesla Model S,Sedan,Hybrid,35851.88,2021,Automatic,27311.45,26.5,7,10,6,6,1630.03,2,5,,FWD
175,Maserati Ghibli,Convertible,Petrol,186245.75,2020,Automatic,152182.21,10.9,8,10,9,8,5702.28,4,5,,AWD
176,GMC Acadia,Hatchback,Hybrid,44155.26,2019,Manual,33995.93,23.1,8,8,8,5,1972.44,2,7,,FWD
177,Dodge Durango,Sedan,Diesel,47373.1,2018,Automatic,37224.88,20.9,6,9,6,7,2341.16,2,4,,FWD
178,Nissan Rogue,Wagon,Petrol,44522.81,2015,Automatic,30013.01,18.8,8,6,10,9,1250.74,3,7,,FWD
179,Hyundai Tucson,SUV,Hybrid,38542.77,2016,Automatic,24008.77,18.5,8,6,9,10,1782.43,2,7,,AWD
180,Hyundai Kona,Hatchback,Petrol,44095.53,2017,Manual,32432.32,24,8,5,7,6,2276.82,1,5,,FWD
181,Volkswagen Tiguan,Wagon,Petrol,45794.35,2021,Automatic,33519.13,19.2,8,10,9,9,1691.55,5,5,,FWD
182,Honda Civic,Sedan,Diesel,29039.84,2017,Manual,13600.98,24.3,4,9,4,5,545.07,2,5,,FWD
183,Hyundai Ioniq,Sedan,Hybrid,52913.51,2019,Automatic,40031.6,26.4,6,7,8,8,1474.55,1,4,,FWD
184,Ford Mustang Mach-E,Hatchback,Electric,30479.53,2017,Automatic,20276.33,29.4,7,8,6,7,944.77,1,4,54.8,AWD
185,Honda Clarity,Hatchback,Hybrid,55947.36,2023,Automatic,44665.56,25.5,7,7,8,7,1580.81,5,5,,AWD
186,Maserati Ghibli,Convertible,Petrol,126270.35,2019,Automatic,112881.22,11.2,9,6,10,8,4534.55,1,4,,AWD
187,Volkswagen Tiguan,Wagon,Petrol,39552.35,2020,Automatic,29885.82,22.4,8,9,8,9,2028.86,3,7,,FWD
188,Honda Civic,Wagon,Petrol,25234.68,2023,Manual,13022.33,20.5,4,8,5,5,653.55,5,5,,FWD
189,Porsche Cayenne,SUV,Petrol,161579.83,2019,Automatic,136186.28,9.6,9,7,10,9,6794.82,4,5,,AWD
190,Chrysler Pacifica,Hatchback,Petrol,53458.71,2017,Automatic,38697.7,20,6,5,6,7,2288.49,1,5,,FWD
191,Porsche Cayenne,SUV,Petrol,144808.79,2011,Automatic,105641.97,11.1,10,6,10,8,6296.64,5,4,,AWD
192,Mazda MX-5,Sedan,Diesel,97715.96,2011,Automatic,64540.04,13.9,10,7,7,6,3900.32,3,4,,AWD
193,Subaru WRX,Sedan,Petrol,92373.44,2020,Manual,65271.45,11.6,9,8,7,6,3725.96,3,2,,RWD
194,Porsche 911,SUV,Hybrid,159704.65,2018,Automatic,143552.57,10.8,9,10,10,10,4592.66,3,4,,RWD
195,Hyundai Tucson,Minivan,Diesel,33050.55,2018,Automatic,23428.64,17.5,6,7,8,8,1586.63,5,5,,FWD
196,Nissan Leaf,Sedan,Electric,59242.07,2023,Automatic,37969.9,27,6,10,8,8,1925.79,5,5,27,AWD
197,Mercedes S-Class,Convertible,Petrol,120441.63,2016,Automatic,90038.82,8.5,8,5,9,10,5405.99,5,5,,AWD
198,Toyota Highlander,Wagon,Hybrid,37857.96,2012,Automatic,24169.54,17.2,7,8,10,10,1341.84,1,5,,FWD
199,Hyundai Kona,SUV,Petrol,34804.36,2014,Manual,22551.82,23.1,7,5,7,7,1575.65,5,4,,FWD
200,Lexus LS,Convertible,Petrol,135927.39,2024,Automatic,118398.31,9.1,10,10,9,10,5902.44,4,4,,AWD
201,Nissan Leaf,SUV,Hybrid,36500.68,2024,Automatic,29169.69,26.5,6,9,6,6,664.84,2,4,,FWD
202,BMW X5,Sedan,Hybrid,158698.48,2022,Automatic,112500.92,8.6,10,6,9,10,4239.87,4,4,,RWD
203,Ford Fusion,Wagon,Petrol,27412.99,2022,Automatic,13546.35,28.3,6,5,5,4,826.59,5,5,,FWD
204,Audi A4,SUV,Hybrid,131418.03,2012,Automatic,115534.1,11.9,10,7,10,10,4170.07,4,4,,AWD
205,Ford Fusion,Wagon,Petrol,23537.65,2022,Manual,10361.26,27.9,5,6,4,6,514.37,5,5,,FWD
206,Suzuki Swift,Hatchback,Petrol,24661.93,2023,Automatic,11929.12,29.9,6,5,6,6,1401.01,2,5,,FWD
207,Subaru Outback,Wagon,Hybrid,39903.96,2016,Automatic,24870.77,16.2,8,5,8,10,2019.6,3,7,,FWD
208,Hyundai Ioniq,SUV,Hybrid,47842.31,2018,Automatic,29752.34,27.8,8,5,7,6,1368.95,2,5,,FWD
209,Kia Sorento,SUV,Hybrid,44185.03,2011,Automatic,34296.42,22,7,8,9,9,1803.25,2,7,,FWD
210,BMW X5,SUV,Petrol,145914.67,2017,Automatic,113687.55,10.2,8,10,9,8,5213.66,1,4,,AWD
211,Jaguar F-Pace,Coupe,Hybrid,150181.3,2010,Automatic,126318.12,11,8,10,9,9,4349.67,2,5,,RWD
212,Audi A4,Coupe,Diesel,145279.01,2019,Automatic,122242.54,9.6,10,5,9,10,5272.49,2,5,,AWD
