Price ($),Year of Manufacture,Resale Value ($),Fuel Economy (km/l),Performance Rating,User Rating,Safety Rating,Comfort Level,Maintenance Cost ($/yr),Warranty Period (years),Seating Capacity,Battery Capacity (kWh),Body Type_Convertible,Body Type_Coupe,Body Type_Hatchback,Body Type_Minivan,Body Type_SUV,Body Type_Sedan,Body Type_Wagon,Engine Type_Diesel,Engine Type_Electric,Engine Type_Hybrid,Engine Type_Petrol,Transmission Type_Automatic,Transmission Type_Manual,Drive Type_AWD,Drive Type_FWD,Drive Type_RWD,Car,Car_ID
0.168005342,0.928571429,0.141534801,0.590909091,0.5,0.6,0.333333333,0.166666667,0.300619428,0.25,0.4,0.474342929,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,Tata Harrier,17
0.781940923,0,0.671492662,0.145454545,0.666666667,0.4,0.833333333,0.833333333,0.892327074,0.25,0.4,0.474342929,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,Porsche 911,18
0.044456114,0.928571429,0.039713404,0.945454545,0.333333333,0.2,0,0,0.123501737,0,0.6,0.474342929,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,Ford Fusion,19
0.180383107,0.714285714,0.140272493,0.440909091,0.5,0,1,0.833333333,0.149401466,0.75,0.6,0.474342929,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,Hyundai Tucson,20
0.96601621,0.071428571,0.800271392,0.054545455,0.833333333,0.2,1,0.666666667,0.791323375,0.75,0.4,0.474342929,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,Mercedes S-Class,21
0.017984471,0.142857143,0.009500041,0.640909091,0,1,0,0.166666667,0.003097913,1,0.6,0.474342929,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,Honda Civic,22
0.439353373,0.357142857,0.357042615,0.181818182,1,0.6,0.666666667,0.333333333,0.507345401,0.75,0.4,0.474342929,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Chevrolet Corvette,23
0.068173184,0.642857143,0.043102881,0.918181818,0.166666667,1,0.166666667,0,0.049413956,0,0.6,0.474342929,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,Kia Forte,24
0.53960853,0.857142857,0.452927311,0.095454545,0.833333333,0.2,0.833333333,0.833333333,0.704998142,1,0.4,0.474342929,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,BMW 7 Series,25
0.209542269,0.714285714,0.177438903,0.904545455,0.5,0.8,0.666666667,0.666666667,0.134451605,1,0.4,0.474342929,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,BMW i3,26
0.157390197,1,0.167992866,0.904545455,0.333333333,0.6,0.666666667,0.5,0.113077698,0.25,0.4,0.48310388,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,Hyundai Ioniq,27
0.412087377,0.928571429,0.352952601,0.190909091,1,1,0.5,0.333333333,0.69903516,0,0,0.474342929,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,Nissan GT-R,28
0.137056467,0.642857143,0.118176251,0.713636364,0.333333333,0.2,0.833333333,1,0.24249153,0,1,0.474342929,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,Hyundai Tucson,29
0.06213234,0,0.026582954,0.690909091,0.166666667,0.8,0.166666667,0.166666667,0.078357628,0.25,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,Nissan Altima,30
0.393303957,0.928571429,0.286871273,0.054545455,1,0.2,0.333333333,0.5,0.536472573,0.5,0,0.474342929,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Dodge Challenger,31
0.221067547,1,0.172163885,0.563636364,0.333333333,0.2,0.333333333,0.166666667,0.298295608,0.25,1,0.474342929,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,Volkswagen Passat,32
0.000713506,0,0.014435545,0.927272727,0,0.4,0.166666667,0.333333333,0.007437151,0.75,0.6,0.474342929,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,Hyundai Elantra,33
0.118917766,0.642857143,0.127525326,0.736363636,0.666666667,0.8,0.833333333,1,0.085455535,0.25,1,0.474342929,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,Mazda CX-5,34
0.682590439,0.928571429,0.571091882,0.022727273,0.833333333,0.2,1,0.833333333,0.823546918,0.75,0.6,0.474342929,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,Jaguar XF,35
0.05925463,0.928571429,0.029232576,0.577272727,0.333333333,0.4,0,0.166666667,0.138442346,1,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,Nissan Sentra,36
0.138791886,0.428571429,0.146652725,0.345454545,0.666666667,0,0.666666667,0.666666667,0.19221096,1,0.6,0.474342929,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,Nissan Rogue,37
0.109152728,0.5,0.117442872,0.454545455,0.333333333,0.4,1,0.833333333,0.149429222,0,1,0.474342929,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,Volkswagen Tiguan,38
0.860017639,0.428571429,0.796578769,0.004545455,0.666666667,0.8,1,0.833333333,0.586901177,1,0.4,0.474342929,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,Porsche Cayenne,39
0.232197516,0.428571429,0.199426445,0.822727273,0.666666667,0,0.5,0.333333333,0.088464012,0.5,0.4,0.123904881,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,Toyota Prius,40
0.730893612,0.571428571,0.687063545,0.136363636,0.666666667,0.8,1,1,0.578085462,0,0.4,0.474342929,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,Maserati Ghibli,41
0.068031175,0.214285714,0.073778335,0.390909091,0.5,0.4,0.833333333,0.666666667,0.168581082,0.25,0.6,0.474342929,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,Volkswagen Tiguan,42
0.17114041,0.857142857,0.167179003,0.586363636,0.5,0,0.333333333,0.5,0.198075254,0.75,1,0.474342929,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,Chevrolet Malibu,43
0.048738718,0.428571429,0.037343337,0.763636364,0.166666667,0.6,0,0.333333333,0.090043038,0,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,Honda Civic,44
0.920644338,0.571428571,0.743827656,0.081818182,0.666666667,0.8,1,0.833333333,0.8155238,0.5,0.6,0.474342929,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,Audi Q7,45
0.060018483,0.142857143,0.03887306,0.795454545,0,0.2,0.333333333,0.333333333,0.041810267,0.75,0.6,0.474342929,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,Toyota Corolla,46
0.196753294,0.857142857,0.1822431,0.459090909,0.666666667,0.8,0.666666667,0.333333333,0.309162206,0.25,1,0.474342929,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,Kia Optima,47
0.15040196,0.857142857,0.135048123,0.595454545,0.333333333,0.4,0.333333333,0.333333333,0.294898543,0.25,1,0.474342929,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Dodge Durango,48
0.001809885,0.714285714,0.016340283,0.881818182,0.333333333,0.6,0.333333333,0.166666667,0.12273227,0.25,0.6,0.474342929,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,Honda Civic,49
0.889006563,0.857142857,0.844660923,0,0.666666667,0.2,0.833333333,0.833333333,0.66119713,0.5,0.6,0.474342929,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,Mercedes C-Class,50
0.268109837,0.714285714,0.194862256,0.190909091,0.833333333,0.2,0.666666667,0.5,0.752947181,0.25,0,0.474342929,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Dodge Charger,51
0.086631324,0.642857143,0.102863183,0.954545455,0.666666667,0,0.666666667,0.5,0.039950594,1,0.6,0.847309136,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,Kia Niro EV,52
0.701455679,1,0.617895943,0.104545455,0.666666667,0.6,0.833333333,1,0.750373554,0.75,0.4,0.474342929,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,Audi A4,53
0.221700261,0.857142857,0.207677187,0.931818182,0.666666667,0,0.666666667,0.333333333,0.135500177,0.75,0.6,0.474342929,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,Chevrolet Bolt,54
0.605988864,1,0.608640882,0.172727273,1,0,1,0.833333333,0.904883724,0.25,0.4,0.474342929,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Mercedes C-Class,55
0.925572309,1,0.771134506,0.140909091,0.666666667,1,0.833333333,1,0.664816245,0.5,0.4,0.474342929,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,Lexus LS,56
0.094128383,0.928571429,0.113862129,0.709090909,0.666666667,1,0.666666667,0.333333333,0.210991194,1,1,0.474342929,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,Buick Enclave,57
0.052320633,0.428571429,0.045415996,0.790909091,0,0.4,0.166666667,0.333333333,0.024057018,0.5,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,Suzuki Baleno,58
0.171938007,0.928571429,0.168408875,0.440909091,0.5,0,0.333333333,0.166666667,0.374492869,1,0.6,0.474342929,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,Tata Harrier,59
0.077350177,0,0.043544446,0.768181818,0.333333333,1,0.333333333,0.333333333,0.063970603,0.25,0.6,0.474342929,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,Hyundai Elantra,60
0.202672624,0.428571429,0.200646257,0.872727273,0.333333333,0,0.666666667,0.5,0.003781027,0.5,0.6,0.474342929,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,Hyundai Ioniq,61
0.151761536,0.285714286,0.129523268,0.954545455,0.666666667,0.4,0.666666667,0.333333333,0.154036771,0,0.6,0.474342929,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,Tesla Model S,62
0.010483411,0.214285714,0.010702218,0.818181818,0.166666667,0.8,0.166666667,0.166666667,0.11522727,0,0.6,0.474342929,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,Toyota Corolla,63
0.139134904,0.071428571,0.106768986,0.604545455,0.333333333,0.2,0.666666667,0.166666667,0.158152416,0.25,0.4,0.474342929,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,Hyundai Kona,64
0.935431227,0.928571429,0.920830198,0.168181818,0.833333333,1,1,0.833333333,0.874182152,0.25,0.6,0.474342929,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Audi A4,65
0.181168753,0.214285714,0.185205583,0.477272727,0.666666667,0.6,0.833333333,1,0.27071508,0.25,1,0.474342929,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,Toyota Highlander,66
0.780389586,0.142857143,0.771607583,0.009090909,0.833333333,0.4,1,0.833333333,0.722274908,1,0.4,0.474342929,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,Mercedes C-Class,67
0.035258139,0.214285714,0.016474366,0.677272727,0.333333333,0.6,0,0.333333333,0.110769297,0.25,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,Suzuki Swift,68
0.306283595,1,0.236161467,0.204545455,0.833333333,0.6,0.333333333,0.5,0.57343011,0.25,0,0.474342929,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Porsche Boxster,69
0.095082698,0.214285714,0.077107738,0.95,0.666666667,0.2,0.333333333,0.333333333,0.166607299,0.5,0.6,0.291614518,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,Hyundai Ioniq,70
0.104077286,0.714285714,0.103294919,0.786363636,0.333333333,0.6,0.5,0.666666667,0.216668903,0.5,0.6,0.474342929,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,Nissan Leaf,71
0.76223942,1,0.717244413,0.068181818,0.833333333,0.8,0.833333333,1,0.880143593,0.5,0.6,0.474342929,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,Audi A4,72
0.042842858,0.785714286,0.041928515,0.836363636,0,1,0,0,0.032003035,0.75,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,Toyota Corolla,73
0.016252458,0.428571429,0.017230641,1,0.333333333,1,0,0,0.078621313,1,0.6,0.474342929,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,Nissan Altima,74
0.145669426,0.571428571,0.126643409,0.595454545,0.333333333,0.4,1,0.833333333,0.208391352,0,1,0.474342929,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,Ford Explorer,75
0.856858886,0.142857143,0.708094815,0.004545455,1,0.8,0.833333333,0.666666667,0.823472901,1,0.6,0.474342929,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,Jaguar F-Pace,76
0.863670234,0.071428571,0.842927446,0.036363636,0.833333333,0.2,1,1,0.976251386,0.25,0.4,0.474342929,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,Audi Q7,77
0.165431983,0.142857143,0.169015398,0.563636364,0.666666667,0.2,0.666666667,1,0.30059784,0.75,0.6,0.474342929,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,Chevrolet Traverse,78
0.122909809,0.571428571,0.13702872,0.513636364,0.333333333,0.4,0.666666667,0.166666667,0.228288006,0.25,0.6,0.474342929,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,Chrysler Pacifica,79
0.016672699,0,0.008948272,0.686363636,0,0.4,0,0.333333333,0.073922785,0.75,0.6,0.474342929,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,Suzuki Swift,80
0.188442145,0.357142857,0.143543498,0.936363636,0.5,0.6,0.666666667,0.5,0.104064604,0.25,0.4,0.474342929,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,Honda Clarity,81
0.180647982,1,0.181514752,0.563636364,0.666666667,0.8,0.5,0.166666667,0.191944191,0,0.4,0.474342929,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Tata Harrier,82
0.157510088,0.857142857,0.151065429,0.822727273,0.5,0.4,0.666666667,0.666666667,0.204039778,0.75,0.6,0.474342929,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,Ford Mustang Mach-E,83
0.180639978,0.071428571,0.136317313,0.4,0.333333333,0.2,0.833333333,0.666666667,0.273264035,0.75,1,0.474342929,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,Honda CR-V,84
0.135822352,0.214285714,0.133912554,0.413636364,0.333333333,1,0.5,0.333333333,0.159184026,0,0.4,0.474342929,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,Tata Harrier,85
0.884604825,0.857142857,0.72869643,0.122727273,0.666666667,0.8,1,0.666666667,0.562410852,0.75,0.6,0.474342929,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,Audi Q7,86
0.19636934,0.785714286,0.144260167,0.822727273,0.333333333,0.4,0.5,0.5,0.081548062,1,0.6,0.474342929,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,Hyundai Ioniq,87
0.167792653,0.142857143,0.16069695,0.945454545,0.333333333,1,0.333333333,0.333333333,0.197037476,0,0.4,0.474342929,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,Ford Mustang Mach-E,88
0.96682511,0.5,0.897624059,0.131818182,1,0.4,1,0.666666667,0.93455677,0.25,0.4,0.474342929,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,Porsche 911,89
0.188098803,0.785714286,0.146100552,0.759090909,0.5,0,1,0.666666667,0.08868452,0.5,0.6,0.474342929,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,Toyota Highlander,90
0.946558599,0.571428571,0.841967185,0.004545455,0.666666667,0,0.833333333,0.666666667,0.626367577,0,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,Maserati Ghibli,91
0.3146041,0.285714286,0.275807512,0.036363636,1,1,0.333333333,0.5,0.540188835,1,0,0.474342929,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Porsche Boxster,92
0.231243308,0.928571429,0.188182982,0.531818182,0.5,0,0.5,0.5,0.369075761,0.25,1,0.474342929,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,Hyundai Kona,93
0.312578065,0.428571429,0.220180472,0.086363636,1,0.4,0.5,0.166666667,0.498087127,0.5,0,0.474342929,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,Porsche Boxster,94
0.395161863,0.571428571,0.341758631,0,0.833333333,0.6,0.666666667,0.5,0.748336548,0.25,0.4,0.474342929,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,Subaru WRX,95
0.76552834,0.857142857,0.777377592,0.15,1,0,1,0.666666667,0.838188376,0.25,0.6,0.474342929,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,BMW 7 Series,96
0.17064857,0.642857143,0.178029122,0.922727273,0.666666667,0.2,0.666666667,0.333333333,0.041748586,0,0.4,0.474342929,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,Chevrolet Bolt,97
0.437789166,0.714285714,0.391490945,0.163636364,1,0.8,0.5,0.5,0.397888361,0.25,0,0.474342929,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Dodge Charger,98
0.204117806,0.785714286,0.192249522,0.663636364,0.666666667,0.2,0.333333333,0.166666667,0.168240296,0.25,1,0.474342929,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,Volkswagen Passat,99
0.125171678,0,0.113231148,0.5,0.5,0.2,0.666666667,0.666666667,0.159461589,0,0.6,0.474342929,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,Honda CR-V,100
0.045915573,0,0.036282124,0.668181818,0.333333333,0.2,0.333333333,0.333333333,0.056901994,0.5,0.6,0.474342929,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,Nissan Sentra,101
0.022367119,0.785714286,0.024920652,0.809090909,0,0.2,0,0,0.047343026,0.25,0.6,0.474342929,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,Nissan Sentra,102
0.117463607,0.357142857,0.116845426,0.877272727,0.5,0.4,0.333333333,0.666666667,0.107017568,1,0.4,0.657071339,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,Honda Clarity,103
0.107540715,0,0.097632917,0.718181818,0.333333333,0.6,1,0.833333333,0.209789962,0.75,1,0.474342929,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,Chevrolet Traverse,104
0.04369264,0,0.024959795,0.872727273,0,0,0.166666667,0.333333333,0.020555096,0,0.6,0.474342929,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,Suzuki Swift,105
0.059507121,0.142857143,0.030462506,0.55,0.333333333,0.2,0.166666667,0.333333333,0.010300678,0.5,0.6,0.474342929,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,Ford Focus,106
0.381598706,0.928571429,0.353279973,0.018181818,0.833333333,0.6,0.333333333,0.333333333,0.646037554,0.75,0.4,0.474342929,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Mazda MX-5,107
0.023066727,0.071428571,0.01249496,0.740909091,0.166666667,0.6,0,0.333333333,0.144075337,0.5,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,Nissan Sentra,108
0.251555082,0.285714286,0.218783156,0.113636364,1,0.4,0.333333333,0.5,0.61810853,0,0,0.474342929,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,Chevrolet Camaro,109
0.108596265,0.142857143,0.086561697,0.927272727,0.5,0.8,0.666666667,0.666666667,0.06229443,0.5,0.4,0.310387985,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,Kia Niro EV,110
0.330507701,0.071428571,0.247110399,0.090909091,1,1,0.666666667,0.166666667,0.623096957,0.75,0.4,0.474342929,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,Chevrolet Corvette,111
0.005015037,0.785714286,0.018531226,0.831818182,0.333333333,1,0,0,0.032806426,1,0.6,0.474342929,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,Honda Civic,112
0.067289981,0.357142857,0.078910714,0.340909091,0.333333333,1,1,0.666666667,0.092533396,0.75,1,0.474342929,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,Volkswagen Tiguan,113
0.121137184,0.571428571,0.104508949,0.868181818,0.333333333,0,0.5,0.666666667,0.064488721,0.5,0.6,0.474342929,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,Tesla Model 3,114
0.197687438,0.285714286,0.191916194,0.5,0.5,1,0.5,0.333333333,0.18573757,0,0.6,0.474342929,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,Jeep Grand Cherokee,115
0.720482558,1,0.614853844,0.159090909,0.666666667,0.6,0.833333333,1,0.822880767,0.75,0.6,0.474342929,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,BMW 7 Series,116
0.159590796,0.928571429,0.134615636,0.959090909,0.333333333,0,0.666666667,0.666666667,0.203688198,0,0.6,0.474342929,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,Tesla Model S,117
0.127385958,1,0.133643695,0.536363636,0.666666667,0.6,0.833333333,0.666666667,0.223321167,1,0.6,0.474342929,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,Chevrolet Traverse,118
0.497949657,0.785714286,0.446352285,0.159090909,1,0.6,0.833333333,0.833333333,0.965549783,0.75,0.6,0.474342929,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,BMW X5,119
0.219708512,0.214285714,0.208174547,0.8,0.5,0.4,0.666666667,0.333333333,0.03197682,0.25,0.4,0.474342929,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,Ford Mustang Mach-E,120
0.22533382,0.642857143,0.160732798,0.977272727,0.5,0.8,0.5,0.666666667,0.049434002,0,0.4,0.768460576,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,Toyota Prius,121
0.854077921,0.571428571,0.677251338,0.104545455,0.666666667,0.6,0.833333333,0.666666667,0.685887917,1,0.4,0.474342929,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,Audi A4,122
0.167513664,0.214285714,0.166895284,0.927272727,0.333333333,0.2,0.666666667,0.5,0.217031277,0.75,0.4,0.785982478,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,Nissan Leaf,123
0.199218334,0.142857143,0.154916707,0.777272727,0.666666667,0.2,0.666666667,0.666666667,0.022016928,0.25,0.6,0.028785982,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,BMW i3,124
0.293428212,0.785714286,0.270398699,0.036363636,1,0.4,0.333333333,0.5,0.408828976,1,0,0.474342929,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,Mazda MX-5,125
0.354953256,0,0.245625544,0.009090909,0.833333333,0,0.5,0.166666667,0.459311551,0.75,0.4,0.474342929,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Dodge Charger,126
0.047405748,0.285714286,0.041276951,0.709090909,0.166666667,0,0.333333333,0.333333333,0.107432371,1,0.6,0.474342929,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,Nissan Sentra,127
0.209553463,0.571428571,0.198834955,0.727272727,0.5,0,0.666666667,0.5,0.218246387,1,1,0.474342929,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,Jeep Grand Cherokee,128
0.072794371,0.928571429,0.040006258,0.727272727,0.166666667,1,0.166666667,0,0.024741673,1,0.6,0.474342929,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,Honda Accord,129
0.146799658,0.928571429,0.118916394,0.413636364,0.5,0.4,1,0.833333333,0.176335888,0.75,0.6,0.474342929,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,Volkswagen Tiguan,130
